influencer_id,name,platform_primary,platform_primary_score,persona,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,trending_status,likeability_sentiment,campaign_success_signif,similarity_tags,has_relevant_history,random_endorse_rate,behavior_consistency,expertise,follower_instagram,engagement_rate,avg_reels_views_5,avg_likes_5,avg_comments_5
INF001,Ayu Tingting,Instagram,83,"['Entertainment','Music','Lifestyle']",Generasi Milenial,Perempuan,Menengah,"['Glamour','Modern']","['Energetic','Expressive']",Fun,True,Positive,False,"['Dangdut','Artis'] ",False,0.36,False,False,25000000,0.025,5000000,437500,187500
INF002,Atta Halilintar,YouTube,90,"['Entertainment','Vlog','Family']",Generasi Z,Laki-laki,Menengah ke atas,"['Modern','Entrepreneur']","['Energetic','Ambitious']",Inspiring,True,Positive,False,"['Gen Halilintar','Vlogger']",False,0.68,False,False,0,0,0,0,0
INF003,Prilly Latuconsina,Instagram,85,"['Entertainment','Acting','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Glamour']","['Expressive','Friendly']",Passion,True,Positive,False,"['Sinetron','Aktris']",False,0.48,False,False,12000000,0.028,2400000,235200,100800
INF004,Raditya Dika,YouTube,88,"['Comedy','Writing','Lifestyle']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Simple','Modern']","['Humorous','Creative']",Creativity,True,Positive,False,"['Standup','Penulis']",False,0.48,True,False,0,0,0,0,0
INF005,Iqbaal Ramadhan,Instagram,80,"['Music','Acting','Youth']",Generasi Z,Laki-laki,Menengah,"['Modern','Youthful']","['Friendly','Talented']",Youthfulness,True,Positive,False,"['CJR','Musisi']",False,0.53,False,False,10000000,0.03,3000000,210000,90000
INF006,Michelle Ziudith,Instagram,74,"['Acting','Lifestyle','Travel']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Travel']","['Friendly','Adventurous']",Passion,False,Positive,False,"['Aktris','Traveler']",False,0.88,False,False,9000000,0.035,3150000,315000,135000
INF007,Chelsea Olivia,Instagram,75,"['Acting','Family','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Friendly']",Family,False,Positive,False,"['Aktris','Ibu']",False,0.35,False,False,8500000,0.022,1870000,183500,76500
INF008,Dinda Hauw,Instagram,73,"['Acting','Family','Lifestyle']",Generasi Z,Perempuan,Menengah,"['Family','Modern']","['Caring','Friendly']",Family,False,Positive,False,"['Aktris','Ibu']",False,0.41,False,False,8000000,0.027,2160000,216000,86400
INF009,Lyodra Ginting,Instagram,78,"['Music','Entertainment','Youth']",Generasi Z,Perempuan,Menengah,"['Modern','Youthful']","['Talented','Expressive']",Talent,False,Positive,False,"['Idol','Musisi']",False,0.28,False,False,9500000,0.018,1710000,171000,72900
INF010,Gisella Anastasia,Instagram,72,"['Entertainment','Music','Family']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Expressive','Friendly']",Family,False,Positive,False,"['Artis','Ibu']",False,0.22,False,False,7000000,0.02,1400000,140000,60000
INF011,Natasha Wilona,Instagram,77,"['Acting','Lifestyle','Beauty']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Beauty']","['Friendly','Talented']",Beauty,False,Positive,False,"['Aktris','Beauty']",False,0.32,False,False,11000000,0.026,2860000,286000,122000
INF012,Ariel Noah,Instagram,92,"['Music','Entertainment','Lifestyle']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Music']","['Talented','Cool']",Talent,True,Positive,False,"['Noah','Musisi']",False,0.94,False,False,13000000,0.04,5200000,520000,220000
INF013,Cinta Laura,Instagram,69,"['Acting','Music','Education']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Education']","['Talented','Smart']",Empowerment,False,Positive,False,"['Aktris','Pendidikan']",False,0.72,False,False,11500000,0.033,3795000,379500,161500
INF014,Felicya Angelista,Instagram,61,"['Acting','Entrepreneur','Family']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Entrepreneur']","['Caring','Ambitious']",Family,False,Positive,False,"['Aktris','Bisnis']",False,0.88,False,False,10500000,0.038,3990000,399000,171000
INF015,Indra Bekti,Instagram,69,"['Entertainment','MC','Comedy']",Generasi X,Laki-laki,Menengah,"['Modern','Simple']","['Humorous','Friendly']",Fun,False,Positive,False,"['MC','Presenter']",False,0.53,False,False,0,0,0,0,0
INF016,Rizky Febian,Instagram,82,"['Music','Entertainment','Youth']",Generasi Z,Laki-laki,Menengah,"['Modern','Youthful']","['Talented','Friendly']",Talent,True,Positive,False,"['Musisi','Idol']",False,0.42,False,False,0,0,0,0,0
INF017,Tasya Kamila,Instagram,76,"['Entertainment','Education','Family']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Education']","['Smart','Friendly']",Empowerment,False,Positive,False,"['Aktris','Pendidikan']",False,0.35,False,False,0,0,0,0,0
INF018,Alexa Belvana,Instagram,73,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Confident']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.61,True,True,0,0,0,0,0
INF019,Ayla Dimitri,Instagram,84,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Creative','Confident']",Creativity,True,Positive,False,"['Fashion','Influencer']",False,0.81,True,True,0,0,0,0,0
INF020,Valerie Pola,Instagram,71,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.27,True,True,0,0,0,0,0
INF021,Sarah Gabriella Tumiwa,Instagram,77,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Friendly']",Confidence,False,Positive,False,"['Fashion','Model']",False,0.27,True,True,0,0,0,0,0
INF022,Tiffany Regina,Instagram,79,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Creative']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.61,True,True,0,0,0,0,0
INF023,Vili Su,Instagram,82,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']",Creativity,True,Positive,False,"['Fashion','Influencer']",False,0.32,True,True,0,0,0,0,0
INF024,Claradevi,Instagram,66,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.43,True,True,0,0,0,0,0
INF025,Yumi Kwandy,Instagram,78,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']",Creativity,False,Positive,False,"['Fashion','Influencer']",False,0.94,True,True,0,0,0,0,0
INF026,Fadhilah Razak,Instagram,76,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.52,True,True,0,0,0,0,0
INF027,Jessica Charis,Instagram,69,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']",Creativity,False,Positive,False,"['Fashion','Influencer']",False,0.78,True,True,0,0,0,0,0
INF028,Evelyn Ramli,Instagram,79,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.75,True,True,0,0,0,0,0
